327 SCRB 150 2011: overall = 4.67, workload = 2.00, difficulty = 2.76
328 HAA 152m 2011: overall = 4.54, workload = 1.92, difficulty = 2.77
329 SOC-WORLD 38 2011: overall = 3.64, workload = 1.38, difficulty = 2.78
330 PORTUG C 2011: overall = 3.77, workload = 1.67, difficulty = 2.43
331 SOC-WORLD 34 2012: overall = 4.33, workload = 1.85, difficulty = 2.69
332 CULTR&BLF 30 2012: overall = 3.85, workload = 1.58, difficulty = 2.66
333 MATH 263x 2012: overall = 3.83, workload = 1.17, difficulty = 3.33
334 ECON 1432 2011: overall = 3.97, workload = 1.62, difficulty = 2.72
335 MOD-HEB B 2011: overall = 4.88, workload = 2.00, difficulty = 3.00
336 AFRAMER 102 2011: overall = 3.86, workload = 1.75, difficulty = 2.40
337 PHIL 98hf 2011: overall = 4.50, workload = 1.74, difficulty = 3.06
338 ANTHRO 1755 2011: overall = 3.88, workload = 1.65, difficulty = 2.59
339 SCI-PHYUNV 14 2011: overall = 4.20, workload = 1.60, difficulty = 3.00
340 EXPOS 40 2012: overall = 4.40, workload = 1.90, difficulty = 2.70
341 AFRAMER 20 2012: overall = 3.59, workload = 1.59, difficulty = 2.41
342 CULTR&BLF 25 2011: overall = 3.86, workload = 1.70, difficulty = 2.50
343 SPANSH 50 2012: overall = 4.20, workload = 1.86, difficulty = 2.58
344 AESTH&INTP 26 2011: overall = 3.77, workload = 1.63, difficulty = 2.54
345 ENGLISH Cpwr 2011: overall = 5.00, workload = 2.29, difficulty = 2.67
346 PSY 1357 2011: overall = 4.00, workload = 1.71, difficulty = 2.64
347 EXPOS 10.012 2011: overall = 4.33, workload = 1.89, difficulty = 2.67
348 RELIGION 1468 2011: overall = 4.45, workload = 1.82, difficulty = 2.91
349 NEUROBIO 95hfx 2012: overall = 4.09, workload = 1.55, difficulty = 3.00
350 STAT 392hf 2012: overall = 4.67, workload = 2.00, difficulty = 2.83
351 SOCIOL 155 2011: overall = 4.25, workload = 1.89, difficulty = 2.60
